EventName,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
Zabawa Production Weekly Ropings - Tuesday #12.5,Tuesdays,,4:15 PM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#12.5 Slide Tuesday Night. $200 entry, 4-steer progressive handicapped, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
Tom Wicklund Drills & Maneuvers - Weekly Classes,Tuesdays/Wednesdays/Thursdays,,5:30 PM,Performance Horse Arena,Corner of 24th and Maddock,Cave Creek,AZ,,Clinic,Weekly Classes,$30 ,"Weekly group horsemanship classes with Tom Wicklund at Performance Horse Arena. Tuesdays and Wednesdays at 5:30 PM, Thursdays at 10 AM. Focus on balance, hind quarters, forehand, and flexing. All disciplines and breeds welcome. New topics each week. $30 per session, space limited, pre-register.",www.performancehorsearena.com,,,Screenshot_2026-03-06_at_8_00_58_AM.png,3/6/26,NO
4D Arena Workin Man Wednesdays,Wednesdays,,9:30 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,,"Weekly afternoon/evening ropings. #11.5 Handicap $150/man, #12.5 Slide $150/man. 4-head progressive.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
4D Arena Wrangler Wednesdays,Wednesdays,,,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,Trophy Buckles,"Weekly morning ropings. #6.5 $50/man, #7.5 $60/man, #8.5 $60/man. All 2-steer with trophy buckles. Wrangler certificates to high money.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
Twisted N Productions Wednesday Round Robin,Wednesdays,,6:00 PM,Bottoms Up Horse Arena & RV Park,4300 E Laughlin Rd,Casa Grande,AZ,,Team Roping,Round Robin,2/3 Payout,"Twisted N Productions weekly Wednesday round robin at Bottoms Up Horse Arena in Casa Grande. $200/man, 15 headers and 15 heelers. Starts at 6 PM. Call to enter. A great mid-week roping opportunity in the Casa Grande area. Call/text 602-541-8880 for entries.",,602-541-8880,,Screenshot_2026-03-06_at_10_29_57_AM.png,3/6/26,YES
Sorta Sorting Practice & Ranch Horse Activities,Wednesdays/Saturdays,,9:00 AM,Flying E Ranch - New Arena,28012 W Wickenburg Way,Wickenburg,AZ,,Cattle Sorting,Weekly Practice,,Weekly sorta sorting practice plus obstacle course and trail course at Flying E Ranch's new arena in Wickenburg. Wednesdays and Saturdays starting at 9 AM. Presented by Wickenburg's Ultimate Ranch & Stock Horse Challenge. Open to all levels looking to sharpen their skills.,,,,Screenshot_2026-03-06_at_8_01_30_AM.png,3/6/26,NOMay Madness - NCHA Days & Cowan Ranch Series,4/30/26,5/3/26,,Horseshoe Park & Equestrian Centre,,Queen Creek,AZ,,Cutting,Rated Show / Series,,NCHA Days and Cowan Ranch Series presented by Arizona Cutting Horse Association (AzCHA). Four days of cutting competition at Horseshoe Park & Equestrian Centre in Queen Creek. Features NCHA Days double circuit points and Cowan Ranch Series classes.,AzCHA.com,,,656653662_17958079614081032_336985130232446869_n.jpg,3/27/26,NO
Obstacle Clinic & Challenge,6/6/26,6/6/26,"Check-in 7AM, Clinic 8-10AM, Practice 10AM-2PM, Challenge 2PM",Dos Lomas Wild Ranch,,Snowflake,AZ,,Clinic,Clinic / Challenge,$75,"Obstacle Clinic & Challenge at Dos Lomas Wild Ranch in Snowflake, AZ in the beautiful White Mountains. One day event with over 30 obstacles. Schedule: Check-in 7AM, Clinic 8-10AM, Open Practice 10AM-2PM, Challenge 2PM to end with awards ceremony. $75 per horse/rider combo includes clinic, day fee, practice and challenge entry. Gift for every entry, prizes for top 5 placings. Dos Lomas Wild Ranch is a 501(c)3 Non-Profit.",,760-981-3018 / 602-397-7070,dlwildranch@gmail.com,654212342_10236413370467941_5732351229810626920_n.jpg,3/27/26,NO
AzVRHA Spring Gather,4/17/26,4/19/26,"Fri 8AM Clinic, Sat/Sun 8:30AM Show",Buckin' Burro Ranch,5801 W Dillon Wash Rd,Prescott,AZ,,Ranch Horse,Show / Clinic,"$225-$350","Arizona Versatility Ranch Horse Association Spring Gather at Buckin' Burro Ranch, 5801 W Dillon Wash Rd, Prescott AZ. Three-day event April 17-19, 2026. Friday 8AM clinic split into 2 groups of 3 hours each. Saturday and Sunday shows start at 8:30AM with 7:45AM trail walk-through and 8AM riders meeting daily. Disciplines include Ranch Cutting, Reining, Cow Work, Ranch Riding, and Ranch Trail. Judges: Lori Walton and Justin White. Pricing: Friday Clinic $225 (Youth $125), AzVRHA 5-Class Competition $350/show (Youth $175), Dry Work All Around $100/show including Ranch Riding, Ranch Rail and Ranch Trail for Open, Amateur and Youth divisions. A la carte classes available. Circuit buckles awarded for All Around and Dry Work. Stalls $25/night (BYO shavings), RV electric hookup $45/night, RV dry camp $20/night, haul-in $15/day. Online entry at www.azvrha.com.",www.azvrha.com,,azvrha.info@gmail.com,656979277_122195045234386132_8132815840291391497_n.jpg,3/27/26,NO
Tri City Speedsters Gymkhana Saddle Series - March 29,3/29/26,3/29/26,10:00 AM,Olsen's Events Arena,344 S Hwy 89,Chino Valley,AZ,,Gymkhana,Series,,"Tri City Speedsters 2026 Gymkhana Saddle Series at Olsen's Events Arena in Chino Valley. Exciting speed events for riders of all ages and experience levels in a welcoming and supportive environment. Classes include Lead Line (all ages), Walk Trot (all ages), Cow Pokes (all ages), Speed Limit/Slower Speeds, Buckaroos 10 & Under, Junior Mustangs 11-13, Senior Mustangs 14-17, Silver Spurs 18-49, and Rusty Spurs 50+. Enter at Saddlebook.com. Series dates: Mar 29 and Apr 12 at Olsen's Events Arena, May 2 at Prescott Rodeo Grounds, June 6 and 27 at Olsen's Events Arena. Rain out date July 11. Follow @TriCitySpeedsters on Facebook.",www.tricitspeedsters.com,Ashley 970-739-3765,,657788729_10238086027283936_5732351229810626920_n.jpg,3/27/26,NO
Tri City Speedsters Gymkhana Saddle Series - April 12,4/12/26,4/12/26,10:00 AM,Olsen's Events Arena,344 S Hwy 89,Chino Valley,AZ,,Gymkhana,Series,,"Tri City Speedsters 2026 Gymkhana Saddle Series at Olsen's Events Arena in Chino Valley. Exciting speed events for riders of all ages and experience levels in a welcoming and supportive environment. Classes include Lead Line (all ages), Walk Trot (all ages), Cow Pokes (all ages), Speed Limit/Slower Speeds, Buckaroos 10 & Under, Junior Mustangs 11-13, Senior Mustangs 14-17, Silver Spurs 18-49, and Rusty Spurs 50+. Enter at Saddlebook.com. Rain out date July 11.",www.tricitspeedsters.com,Ashley 970-739-3765,,657788729_10238086027283936_5732351229810626920_n.jpg,3/27/26,NO
Tri City Speedsters Gymkhana Saddle Series - May 2,5/2/26,5/2/26,9:00 AM,Prescott Rodeo Grounds,,Prescott,AZ,,Gymkhana,Series,,"Tri City Speedsters 2026 Gymkhana Saddle Series at Prescott Rodeo Grounds. Exciting speed events for riders of all ages and experience levels in a welcoming and supportive environment. Classes include Lead Line (all ages), Walk Trot (all ages), Cow Pokes (all ages), Speed Limit/Slower Speeds, Buckaroos 10 & Under, Junior Mustangs 11-13, Senior Mustangs 14-17, Silver Spurs 18-49, and Rusty Spurs 50+. Enter at Saddlebook.com. Rain out date July 11.",www.tricitspeedsters.com,Ashley 970-739-3765,,657788729_10238086027283936_5732351229810626920_n.jpg,3/27/26,NO
Tri City Speedsters Gymkhana Saddle Series - June 6,6/6/26,6/6/26,9:00 AM,Olsen's Events Arena,344 S Hwy 89,Chino Valley,AZ,,Gymkhana,Series,,"Tri City Speedsters 2026 Gymkhana Saddle Series at Olsen's Events Arena in Chino Valley. Exciting speed events for riders of all ages and experience levels. Classes include Lead Line, Walk Trot, Cow Pokes, Speed Limit/Slower Speeds, Buckaroos 10 & Under, Junior Mustangs 11-13, Senior Mustangs 14-17, Silver Spurs 18-49, and Rusty Spurs 50+. Enter at Saddlebook.com. Rain out date July 11.",www.tricitspeedsters.com,Ashley 970-739-3765,,657788729_10238086027283936_5732351229810626920_n.jpg,3/27/26,NO
Tri City Speedsters Gymkhana Saddle Series - June 27,6/27/26,6/27/26,9:00 AM,Olsen's Events Arena,344 S Hwy 89,Chino Valley,AZ,,Gymkhana,Series,,"Tri City Speedsters 2026 Gymkhana Saddle Series at Olsen's Events Arena in Chino Valley. Exciting speed events for riders of all ages and experience levels. Classes include Lead Line, Walk Trot, Cow Pokes, Speed Limit/Slower Speeds, Buckaroos 10 & Under, Junior Mustangs 11-13, Senior Mustangs 14-17, Silver Spurs 18-49, and Rusty Spurs 50+. Enter at Saddlebook.com. Rain out date July 11.",www.tricitspeedsters.com,Ashley 970-739-3765,,657788729_10238086027283936_5732351229810626920_n.jpg,3/27/26,NO
2026 Show Low Rodeo Queen Pageant,4/11/26,4/11/26,,Linden Valley Arena,,Show Low,AZ,,Rodeo Queen,Pageant,,"2026 Show Low Rodeo Queen Pageant at Linden Valley Arena in Show Low, AZ. Open to young ladies ages 14-18 as of June 5, 2026. Must be a resident of Navajo or Apache County. Contestant packets available, entries due April 1, 2026. A community tradition celebrating western heritage and youth leadership in the White Mountains region. Contact Directors Shasta Perkins or Amy Jo Perkins for contestant packets and information.",,502-909-5330 / 928-243-3301,,656792737_18317105152250489_438742529162726175_n.jpg,3/27/26,NO
Missionview Saddle Club Two Day Gymkhana,4/25/26,4/26/26,"Sat: Books 7:30AM Grand Entry 8AM Show 8:30AM, Sun: Books 7:30AM Show 8AM",Pima County Fairgrounds,11300 S Houghton Rd,Tucson,AZ,,Gymkhana,Competition,"$100/rider","Missionview Saddle Club Two Day Gymkhana at Pima County Fairgrounds in Tucson. Cash and prizes paid for each event and age group, with high point and runner-up winners each day plus overall 2-day winners per age group. Age groups include Buckaroo (lead line), 10 & Under, and up to 4 additional age groups based on entries. Saturday events: Barrels, Tailspin, Streaking Poles, Double Bowtie. Sunday events: Horseshoe Barrels, Speed Barrels, Pylon, Bowtie. Entry $100/rider both days, $55 one day. Buckaroo $60 both days, $35 one day. Capped at 100 riders; Buckaroo capped at 15. Entry deadline April 13, $10 late fee. Raffles and 50/50 raffle each day. Riders bringing in $150 in advertising have entry fee waived.",missionviewsaddleclub.com,,,657025033_2218444698687464_9041946268186954471_n.jpg,3/27/26,NO
Obstacle Clinic - Regi Richter Basinger,4/25/26,4/25/26,8:00 AM - 11:00 AM,,,Tombstone,AZ,,Clinic,Obstacle Clinic,,"Obstacle Clinic hosted by Regi Richter Basinger in Tombstone, AZ. Moved to summer schedule running Saturdays 8AM-11AM starting April 25. Hands-on obstacle training session ideal for horses and riders looking to build confidence and skills on the ground and under saddle. Shared to the Tucson Horses & Events community. Contact Regi Richter Basinger directly via Facebook for location details and registration.",,,,Screenshot_2026-03-24_at_7_55_25_AM.png,3/27/26,NO
